"Node Title",Path," Meta Title","Meta Description","Meta Abstract"," Meta Keywords"
hi,node/5072,"drush meta title 5072","drush meta description 5072","drush meta abstract 5072",
hi,node/5073,"drush meta title 5073","drush meta description 5073","drush meta abstract 5073","drush meta keywords 5073"
hi,node/5074,"drush meta title 5074","drush meta description 5074","drush meta abstract 5074","drush meta keywords 5074"
hi,node/5075,"drush meta title 5075","drush meta description 5075","drush meta abstract 5075","drush meta keywords 5075"
hi,node/5076,"drush meta title 5076","drush meta description 5076","drush meta abstract 5076","drush meta keywords 5076"
hi,node/5077,"drush meta title 5077","drush meta description 5077","drush meta abstract 5077","drush meta keywords 5077"
hi,node/5078,"drush meta title 5078","drush meta description 5078","drush meta abstract 5078","drush meta keywords 5078"
hi,node/5079,"drush meta title 5079","drush meta description 5079","drush meta abstract 5079","drush meta keywords 5079"
ss,node/5080,"drush meta title 5080","drush meta description 5080","drush meta abstract 5080","drush meta keywords 5080"
namit1,node/7083,meta1,meta2,meta3,meta4
